Country Code,Country Name,Family importance,Friend importance,Happiness,Life satisfaction,Religious,Suicide justifiability,Employment status,age,Level of Education,Live with Parents
32,Argentina,0.986824324,0.838513514,0.836824324,7.316216216,0.822972973,2.101689189,0.101689189,42.33986486,4.669932432,0.253716216
36,Australia,0.985433358,0.956300073,0.938820102,7.461034232,0.524399126,3.29206118,0.012867201,46.29691673,6.559844622,0.116290362
76,Brazil,0.992201258,0.861886792,0.889559748,7.590188679,0.853584906,1.634716981,0.139371069,39.82691824,4.707169811,0.250566038
152,Chile,0.99047619,0.687301587,0.822222222,7.148677249,0.655291005,2.133333333,0.053703704,42.01851852,5.265873016,0.281216931
156,China,0.985741904,0.878443693,0.813919768,6.839052682,0.165297245,2.03842436,0.036007733,42.93136781,4.866360561,0.302803287
170,Colombia,0.995495495,0.771621622,0.867567568,8.414414414,0.84527027,1.636036036,0.11463964,37.87274775,6.094369369,0.320720721
276,Germany,0.965146459,0.939747868,0.83444568,7.139043382,0.442714127,3.803670745,0.087690026,47.74119392,5.243974787,0.092695588
288,Ghana,0.984904394,0.773565917,0.807447165,6.318349547,0.944984904,1.722576317,0.18852734,32.16739349,3.983562563,0.381080174
356,India,0.992103712,0.836888627,0.823217443,6.209310548,0.847377725,2.104773129,0.084266352,39.93965822,4.504537419,0.52421921
368,Iraq,0.992619926,0.879151292,0.682656827,5.937269373,0.834870849,1.758302583,0.085793358,36.78505535,4.906826568,0.386531365
392,Japan,0.992030697,0.945690673,0.898760331,6.892857143,0.248524203,2.715761511,0.017709563,49.04309327,6.879279811,0.31729634
398,Kazakstan,0.996,0.865333333,0.887333333,7.254666667,0.625333333,2.091333333,0.060666667,40.016,6.694,0.266666667
458,Malaysia,0.997991161,0.929690639,0.954198473,6.997991161,0.706709522,2.482924869,0.030132583,36.09160305,5.356368019,0.361189233
504,Morocco,0.994528044,0.824441404,0.802097583,5.576379389,0.900592795,1.336981304,0.020519836,37.02735978,2.705426357,0.459188326
528,Netherlands,0.963347587,0.954184484,0.93280391,7.527183873,0.450824679,4.422113622,0.04825901,53.48564447,5.891264508,0.057422114
554,New-Zealand,0.992376682,0.95470852,0.957847534,7.753363229,0.48161435,2.85426009,0.066367713,48.17982063,6.769058296,0.066367713
566,Nigeria,0.998402556,0.91657792,0.86971956,6.58998935,0.956159034,1.763400781,0.08058218,31.55307064,5.407170749,0.355697551
586,Pakistan,0.99239406,0.718942412,0.79971025,6.010141253,0.942049982,1.270916335,0.03332126,35.88953278,4.141977544,0.454545455
604,Peru,0.991865358,0.580364656,0.69368864,6.644880785,0.854137447,1.892847125,0.081346424,36.54754558,5.9085554,0.374474053
616,Poland,0.994107248,0.934001179,0.921037124,7.088980554,0.912197996,2.335297584,0.093694755,46.90394814,5.360636417,0.281673542
643,Russia,0.974944321,0.799554566,0.652004454,5.391146993,0.62110245,2.06403118,0.045657016,46.18179287,6.249721604,0.143930958
710,South-Africa,0.989727481,0.760166398,0.801596061,6.590118007,0.824093726,2.70702097,0.264029205,37.92529077,5.622124119,0.289583156
716,Zimbabwe,0.996350365,0.807380373,0.724249797,5.233171127,0.914841849,1.767639903,0.310624493,34.21005677,4.615977291,0.259935118
724,Spain,0.992044923,0.932849789,0.884183435,6.910856341,0.550304165,2.927000468,0.115816565,45.96607394,4.442442677,0.218062705
752,Sweden,0.983557139,0.979720471,0.952041655,7.714442313,0.341463415,4.478761304,0.039736914,46.02466429,6.553302275,0.074815018
764,Thailand,0.987937743,0.834241245,0.928793774,7.356420233,0.347859922,2.145136187,0.080155642,45.47431907,4.46692607,0.409338521
818,Egypt,0.997672872,0.862533245,0.869015957,5.5703125,0.959109043,1.1640625,0.068816489,39.47772606,4.169714096,0.25880984
840,USA,0.991334489,0.954246101,0.928596187,7.517331023,0.758752166,2.734142114,0.062218371,47.4202773,6.820623917,0.102599653
858,Uruguay,0.988014981,0.853558052,0.847565543,7.447191011,0.556928839,2.570037453,0.079026217,46.06741573,4.511235955,0.202996255
860,Uzbekistan,0.997132616,0.90609319,0.964874552,7.898207885,0.520430108,1.551971326,0.13046595,39.43154122,5.860215054,0.305376344
